Smell Type,Smell Name,Description,File Path,Module/Class,Line Number,Severity
Code Smell,Dead Code,Unused function 'reporthook' in pyrasbt\ch08\ch08.py,pyrasbt\ch08\ch08.py,reporthook,,
Code Smell,Dead Code,Unused function 'index' in pyrasbt\ch09\1st_flask_app_1\app.py,pyrasbt\ch09\1st_flask_app_1\app.py,index,,
Code Smell,Dead Code,Unused function 'index' in pyrasbt\ch09\1st_flask_app_2\app.py,pyrasbt\ch09\1st_flask_app_2\app.py,index,,
Code Smell,Dead Code,Unused function 'hello' in pyrasbt\ch09\1st_flask_app_2\app.py,pyrasbt\ch09\1st_flask_app_2\app.py,hello,,
Code Smell,Lazy Class,'HelloForm' at line 6 in pyrasbt\ch09\1st_flask_app_2\app.py,pyrasbt\ch09\1st_flask_app_2\app.py,HelloForm,6,
Code Smell,Dead Code,Unused function 'index' in pyrasbt\ch09\movieclassifier\app.py,pyrasbt\ch09\movieclassifier\app.py,index,,
Code Smell,Dead Code,Unused function 'feedback' in pyrasbt\ch09\movieclassifier\app.py,pyrasbt\ch09\movieclassifier\app.py,feedback,,
Code Smell,Dead Code,Unused function 'results' in pyrasbt\ch09\movieclassifier\app.py,pyrasbt\ch09\movieclassifier\app.py,results,,
Code Smell,Lazy Class,'ReviewForm' at line 40 in pyrasbt\ch09\movieclassifier\app.py,pyrasbt\ch09\movieclassifier\app.py,ReviewForm,40,
Code Smell,Dead Code,Unused function 'tokenizer' in pyrasbt\ch09\movieclassifier\vectorizer.py,pyrasbt\ch09\movieclassifier\vectorizer.py,tokenizer,,
Code Smell,Dead Code,Unused function 'index' in pyrasbt\ch09\movieclassifier_with_update\app.py,pyrasbt\ch09\movieclassifier_with_update\app.py,index,,
Code Smell,Dead Code,Unused function 'feedback' in pyrasbt\ch09\movieclassifier_with_update\app.py,pyrasbt\ch09\movieclassifier_with_update\app.py,feedback,,
Code Smell,Dead Code,Unused function 'results' in pyrasbt\ch09\movieclassifier_with_update\app.py,pyrasbt\ch09\movieclassifier_with_update\app.py,results,,
Code Smell,Lazy Class,'ReviewForm' at line 40 in pyrasbt\ch09\movieclassifier_with_update\app.py,pyrasbt\ch09\movieclassifier_with_update\app.py,ReviewForm,40,
Code Smell,Dead Code,Unused function 'tokenizer' in pyrasbt\ch09\movieclassifier_with_update\vectorizer.py,pyrasbt\ch09\movieclassifier_with_update\vectorizer.py,tokenizer,,
Code Smell,Dead Code,Unused function 'tokenizer' in pyrasbt\ch09\pickle-test-scripts\pickle-dump-test.py,pyrasbt\ch09\pickle-test-scripts\pickle-dump-test.py,tokenizer,,
Code Smell,Dead Code,Unused function 'tokenizer' in pyrasbt\ch09\pickle-test-scripts\vectorizer.py,pyrasbt\ch09\pickle-test-scripts\vectorizer.py,tokenizer,,
Code Smell,Temporary Field,self in class 'LinearRegressionGD' at line 190 in pyrasbt\ch10\ch10.py,pyrasbt\ch10\ch10.py,LinearRegressionGD,190,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch10\ch10.py,pyrasbt\ch10\ch10.py,print,,
Code Smell,Potential Shotgun Surgery,Method 'mean_squared_error' called in multiple places in pyrasbt\ch10\ch10.py,pyrasbt\ch10\ch10.py,mean_squared_error,,
Code Smell,Potential Shotgun Surgery,Method 'r2_score' called in multiple places in pyrasbt\ch10\ch10.py,pyrasbt\ch10\ch10.py,r2_score,,
Code Smell,Potential Shotgun Surgery,Method 'range' called in multiple places in pyrasbt\ch11\ch11.py,pyrasbt\ch11\ch11.py,range,,
Code Smell,Temporary Field,"seed, self in class 'NeuralNetMLP' at line 264 in pyrasbt\ch12\ch12.py",pyrasbt\ch12\ch12.py,NeuralNetMLP,264,
Code Smell,Potential Shotgun Surgery,Method 'range' called in multiple places in pyrasbt\ch12\ch12.py,pyrasbt\ch12\ch12.py,range,,
Code Smell,Temporary Field,"seed, self in class 'NeuralNetMLP' at line 5 in pyrasbt\ch12\neuralnet.py",pyrasbt\ch12\neuralnet.py,NeuralNetMLP,5,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch13\ch13_part1.py,pyrasbt\ch13\ch13_part1.py,print,,
Code Smell,Potential Shotgun Surgery,Method 'enumerate' called in multiple places in pyrasbt\ch13\ch13_part1.py,pyrasbt\ch13\ch13_part1.py,enumerate,,
Code Smell,Dead Code,Unused function 'load_and_preprocess' in pyrasbt\ch13\ch13_part1.py,pyrasbt\ch13\ch13_part1.py,load_and_preprocess,,
Code Smell,Temporary Field,self in class 'MyModel' at line 65 in pyrasbt\ch13\ch13_part2.py,pyrasbt\ch13\ch13_part2.py,MyModel,65,
Code Smell,Potential Shotgun Surgery,Method 'enumerate' called in multiple places in pyrasbt\ch13\ch13_part2.py,pyrasbt\ch13\ch13_part2.py,enumerate,,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch13\ch13_part2.py,pyrasbt\ch13\ch13_part2.py,print,,
Code Smell,Lazy Class,'MyModel' at line 65 in pyrasbt\ch13\ch13_part2.py,pyrasbt\ch13\ch13_part2.py,MyModel,65,
Code Smell,Dead Code,Unused function 'log_validation_results' in pyrasbt\ch13\ch13_part3.py,pyrasbt\ch13\ch13_part3.py,log_validation_results,,
Code Smell,Dead Code,Unused function 'log_training_loss' in pyrasbt\ch13\ch13_part3.py,pyrasbt\ch13\ch13_part3.py,log_training_loss,,
Code Smell,Feature Envy,Method 'get_model' at line 57 might be envying class related to 'nn' in pyrasbt\ch13\ch13_part3.py,pyrasbt\ch13\ch13_part3.py,get_model,57,
Code Smell,Feature Envy,Method 'log_training_loss' at line 106 might be envying class related to 'trainer' in pyrasbt\ch13\ch13_part3.py,pyrasbt\ch13\ch13_part3.py,log_training_loss,106,
Code Smell,Data Clumps,"Parameters a, b, c appear together in functions: compute_z, compute_z, compute_z in pyrasbt\ch14\ch14_part1.py",pyrasbt\ch14\ch14_part1.py,"compute_z, compute_z, compute_z",,
Code Smell,Temporary Field,"self, init in class 'MyModule' at line 209 in pyrasbt\ch14\ch14_part1.py",pyrasbt\ch14\ch14_part1.py,MyModule,209,
Code Smell,Temporary Field,self in class 'MyModel' at line 604 in pyrasbt\ch14\ch14_part1.py,pyrasbt\ch14\ch14_part1.py,MyModel,604,
Code Smell,Temporary Field,self in class 'NoisyLinear' at line 673 in pyrasbt\ch14\ch14_part1.py,pyrasbt\ch14\ch14_part1.py,NoisyLinear,673,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch14\ch14_part1.py,pyrasbt\ch14\ch14_part1.py,print,,
Code Smell,Potential Shotgun Surgery,Method 'compute_z' called in multiple places in pyrasbt\ch14\ch14_part1.py,pyrasbt\ch14\ch14_part1.py,compute_z,,
Code Smell,Lazy Class,'MyModule' at line 209 in pyrasbt\ch14\ch14_part1.py,pyrasbt\ch14\ch14_part1.py,MyModule,209,
Code Smell,Lazy Class,'MyModel' at line 604 in pyrasbt\ch14\ch14_part1.py,pyrasbt\ch14\ch14_part1.py,MyModel,604,
Code Smell,Feature Envy,Method 'compute_z' at line 128 might be envying class related to 'tf' in pyrasbt\ch14\ch14_part1.py,pyrasbt\ch14\ch14_part1.py,compute_z,128,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch14\ch14_part2.py,pyrasbt\ch14\ch14_part2.py,print,,
Code Smell,Dead Code,Unused function 'preprocess' in pyrasbt\ch14\ch14_part3.py,pyrasbt\ch14\ch14_part3.py,preprocess,,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch15\ch15_part1.py,pyrasbt\ch15\ch15_part1.py,print,,
Code Smell,Feature Envy,Method 'conv1d' at line 76 might be envying class related to 'np' in pyrasbt\ch15\ch15_part1.py,pyrasbt\ch15\ch15_part1.py,conv1d,76,
Code Smell,Feature Envy,Method 'conv2d' at line 119 might be envying class related to 'np' in pyrasbt\ch15\ch15_part1.py,pyrasbt\ch15\ch15_part1.py,conv2d,119,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch15\ch15_part2.py,pyrasbt\ch15\ch15_part2.py,print,,
Code Smell,Duplicate Code,"Functions count_labels, count_labels in pyrasbt\ch15\ch15_part2.py",pyrasbt\ch15\ch15_part2.py,"count_labels, count_labels",,
Code Smell,Feature Envy,Method 'preprocess' at line 166 might be envying class related to 'tf' in pyrasbt\ch15\ch15_part2.py,pyrasbt\ch15\ch15_part2.py,preprocess,166,
Code Smell,Long Method,'sample' in pyrasbt\ch16\ch16_part2.py at line 209,pyrasbt\ch16\ch16_part2.py,sample,209,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch16\ch16_part2.py,pyrasbt\ch16\ch16_part2.py,print,,
Code Smell,Dead Code,Unused function 'split_input_target' in pyrasbt\ch16\ch16_part2.py,pyrasbt\ch16\ch16_part2.py,split_input_target,,
Code Smell,Feature Envy,Method 'sample' at line 209 might be envying class related to 'tf' in pyrasbt\ch16\ch16_part2.py,pyrasbt\ch16\ch16_part2.py,sample,209,
Code Smell,Data Clumps,"Parameters num_hidden_layers, num_hidden_units, num_output_units appear together in functions: make_generator_network, make_discriminator_network in pyrasbt\ch17\ch17_part1.py",pyrasbt\ch17\ch17_part1.py,"make_generator_network, make_discriminator_network",,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch17\ch17_part1.py,pyrasbt\ch17\ch17_part1.py,print,,
Code Smell,Feature Envy,Method 'make_discriminator_network' at line 130 might be envying class related to 'tf' in pyrasbt\ch17\ch17_part1.py,pyrasbt\ch17\ch17_part1.py,make_discriminator_network,130,
Code Smell,Feature Envy,Method 'preprocess' at line 187 might be envying class related to 'tf' in pyrasbt\ch17\ch17_part1.py,pyrasbt\ch17\ch17_part1.py,preprocess,187,
Code Smell,Long Method,'make_dcgan_generator' in pyrasbt\ch17\ch17_part2.py at line 93,pyrasbt\ch17\ch17_part2.py,make_dcgan_generator,93,
Code Smell,Long Method,'make_dcgan_discriminator' in pyrasbt\ch17\ch17_part2.py at line 140,pyrasbt\ch17\ch17_part2.py,make_dcgan_discriminator,140,
Code Smell,Dead Code,Unused function 'preprocess' in pyrasbt\ch17\ch17_part2.py,pyrasbt\ch17\ch17_part2.py,preprocess,,
Code Smell,Feature Envy,Method 'make_dcgan_generator' at line 93 might be envying class related to 'tf' in pyrasbt\ch17\ch17_part2.py,pyrasbt\ch17\ch17_part2.py,make_dcgan_generator,93,
Code Smell,Feature Envy,Method 'make_dcgan_discriminator' at line 140 might be envying class related to 'tf' in pyrasbt\ch17\ch17_part2.py,pyrasbt\ch17\ch17_part2.py,make_dcgan_discriminator,140,
Code Smell,Temporary Field,"env, learning_rate, discount_factor, max_memory_size, epsilon_greedy, self in class 'DQNAgent' at line 33 in pyrasbt\ch18\cartpole\main.py",pyrasbt\ch18\cartpole\main.py,DQNAgent,33,
Code Smell,Feature Envy,Method 'plot_learning_history' at line 113 might be envying class related to 'plt' in pyrasbt\ch18\cartpole\main.py,pyrasbt\ch18\cartpole\main.py,plot_learning_history,113,
Code Smell,Temporary Field,"epsilon_greedy, learning_rate, discount_factor, self in class 'Agent' at line 21 in pyrasbt\ch18\gridworld\agent.py",pyrasbt\ch18\gridworld\agent.py,Agent,21,
Code Smell,Temporary Field,"a, row, next_s, move_left, move_down, move_up, self, trap_states, col, c, done, r, gold_cell, action, isd, nS, trap_cells, gold_state, P, nA, move_right in class 'GridWorldEnv' at line 63 in pyrasbt\ch18\gridworld\gridworld_env.py",pyrasbt\ch18\gridworld\gridworld_env.py,GridWorldEnv,63,
Code Smell,Potential Shotgun Surgery,Method 'range' called in multiple places in pyrasbt\ch18\gridworld\gridworld_env.py,pyrasbt\ch18\gridworld\gridworld_env.py,range,,
Code Smell,Long Method,'run_qlearning' in pyrasbt\ch18\gridworld\qlearning.py at line 29,pyrasbt\ch18\gridworld\qlearning.py,run_qlearning,29,
Code Smell,Feature Envy,Method 'plot_learning_history' at line 53 might be envying class related to 'plt' in pyrasbt\ch18\gridworld\qlearning.py,pyrasbt\ch18\gridworld\qlearning.py,plot_learning_history,53,
Architectural Smell,Scattered Functionality,"Function 'activation' appears in modules ch02, ch03",pyrasbt\ch02\ch02.py,ch02,,
Architectural Smell,Scattered Functionality,"Function 'predict' appears in modules ch02, ch03, ch07, ch10, ch12, neuralnet",pyrasbt\ch02\ch02.py,ch02,,
Architectural Smell,Scattered Functionality,"Function '__init__' appears in modules ch02, ch03, ch04, ch07, ch10, ch12, neuralnet, ch13_part2, ch14_part1, main, agent, gridworld_env",pyrasbt\ch02\ch02.py,ch02,,
Architectural Smell,Scattered Functionality,"Function 'net_input' appears in modules ch02, ch03, ch10, ch13_part2",pyrasbt\ch02\ch02.py,ch02,,
Architectural Smell,Scattered Functionality,"Function 'fit' appears in modules ch02, ch03, ch04, ch07, ch10, ch12, neuralnet",pyrasbt\ch02\ch02.py,ch02,,
Architectural Smell,Scattered Functionality,"Function 'plot_decision_regions' appears in modules ch02, ch03",pyrasbt\ch02\ch02.py,ch02,,
Architectural Smell,Scattered Functionality,"Function 'tokenizer' appears in modules ch08, vectorizer, pickle-dump-test",pyrasbt\ch08\ch08.py,ch08,,
Architectural Smell,Scattered Functionality,"Function 'train' appears in modules app, ch13_part2",pyrasbt\ch09\movieclassifier_with_update\app.py,app,,
Architectural Smell,Scattered Functionality,"Function '_onehot' appears in modules ch12, neuralnet",pyrasbt\ch12\ch12.py,ch12,,
Architectural Smell,Scattered Functionality,"Function '_compute_cost' appears in modules ch12, neuralnet",pyrasbt\ch12\ch12.py,ch12,,
Architectural Smell,Scattered Functionality,"Function '_forward' appears in modules ch12, neuralnet",pyrasbt\ch12\ch12.py,ch12,,
Architectural Smell,Scattered Functionality,"Function '_sigmoid' appears in modules ch12, neuralnet",pyrasbt\ch12\ch12.py,ch12,,
Architectural Smell,Scattered Functionality,"Function 'call' appears in modules ch13_part2, ch14_part1",pyrasbt\ch13\ch13_part2.py,ch13_part2,,
Architectural Smell,Scattered Functionality,"Function 'eval_input_fn' appears in modules ch14_part2, ch14_part3",pyrasbt\ch14\ch14_part2.py,ch14_part2,,
Architectural Smell,Scattered Functionality,"Function 'train_input_fn' appears in modules ch14_part2, ch14_part3",pyrasbt\ch14\ch14_part2.py,ch14_part2,,
Architectural Smell,Scattered Functionality,"Function 'preprocess' appears in modules ch14_part3, ch15_part2, ch17_part1, ch17_part2",pyrasbt\ch14\ch14_part3.py,ch14_part3,,
Architectural Smell,Scattered Functionality,"Function 'create_samples' appears in modules ch17_part1, ch17_part2",pyrasbt\ch17\ch17_part1.py,ch17_part1,,
Architectural Smell,Scattered Functionality,"Function '_adjust_epsilon' appears in modules main, agent",pyrasbt\ch18\cartpole\main.py,main,,
Architectural Smell,Scattered Functionality,"Function 'plot_learning_history' appears in modules main, qlearning",pyrasbt\ch18\cartpole\main.py,main,,
Architectural Smell,Scattered Functionality,"Function '_learn' appears in modules main, agent",pyrasbt\ch18\cartpole\main.py,main,,
Architectural Smell,Scattered Functionality,"Function 'choose_action' appears in modules main, agent",pyrasbt\ch18\cartpole\main.py,main,,
Architectural Smell,Potential Redundant Abstractions,"Modules vectorizer, pickle-dump-test have similar functionalities",pyrasbt\ch09\pickle-test-scripts\vectorizer.py,vectorizer,,
Architectural Smell,Potential Improper API Usage,Module 'ch02' has repetitive API calls,pyrasbt\ch02\ch02.py,ch02,,
Architectural Smell,Potential Improper API Usage,Module 'ch03' has repetitive API calls,pyrasbt\ch03\ch03.py,ch03,,
Architectural Smell,Potential Improper API Usage,Module 'ch04' has repetitive API calls,pyrasbt\ch04\ch04.py,ch04,,
Architectural Smell,Potential Improper API Usage,Module 'ch07' has repetitive API calls,pyrasbt\ch07\ch07.py,ch07,,
Architectural Smell,Potential Improper API Usage,Module 'app' has repetitive API calls,pyrasbt\ch09\movieclassifier_with_update\app.py,app,,
Architectural Smell,Potential Improper API Usage,Module 'vectorizer' has repetitive API calls,pyrasbt\ch09\pickle-test-scripts\vectorizer.py,vectorizer,,
Architectural Smell,Potential Improper API Usage,Module 'ch10' has repetitive API calls,pyrasbt\ch10\ch10.py,ch10,,
Architectural Smell,Potential Improper API Usage,Module 'ch11' has repetitive API calls,pyrasbt\ch11\ch11.py,ch11,,
Architectural Smell,Potential Improper API Usage,Module 'ch12' has repetitive API calls,pyrasbt\ch12\ch12.py,ch12,,
Architectural Smell,Potential Improper API Usage,Module 'neuralnet' has repetitive API calls,pyrasbt\ch12\neuralnet.py,neuralnet,,
Architectural Smell,Potential Improper API Usage,Module 'ch13_part1' has repetitive API calls,pyrasbt\ch13\ch13_part1.py,ch13_part1,,
Architectural Smell,Potential Improper API Usage,Module 'ch13_part2' has repetitive API calls,pyrasbt\ch13\ch13_part2.py,ch13_part2,,
Architectural Smell,Potential Improper API Usage,Module 'ch14_part1' has repetitive API calls,pyrasbt\ch14\ch14_part1.py,ch14_part1,,
Architectural Smell,Potential Improper API Usage,Module 'ch15_part1' has repetitive API calls,pyrasbt\ch15\ch15_part1.py,ch15_part1,,
Architectural Smell,Potential Improper API Usage,Module 'ch15_part2' has repetitive API calls,pyrasbt\ch15\ch15_part2.py,ch15_part2,,
Architectural Smell,Potential Improper API Usage,Module 'ch16_part2' has repetitive API calls,pyrasbt\ch16\ch16_part2.py,ch16_part2,,
Architectural Smell,Potential Improper API Usage,Module 'ch17_part1' has repetitive API calls,pyrasbt\ch17\ch17_part1.py,ch17_part1,,
Architectural Smell,Unstable Dependency,Module 'gridworld_env' has high instability (0.88),pyrasbt\ch18\gridworld\gridworld_env.py,gridworld_env,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'os' has CBO of 15,Unknown,os,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'numpy' has CBO of 27,Unknown,numpy,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'pandas' has CBO of 11,Unknown,pandas,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'matplotlib.pyplot' has CBO of 16,Unknown,matplotlib.pyplot,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'ch03.ch03' has CBO of 15,pyrasbt\ch03\ch03.py,ch03.ch03,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'ch04.ch04' has CBO of 16,pyrasbt\ch04\ch04.py,ch04.ch04,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'ch07.ch07' has CBO of 17,pyrasbt\ch07\ch07.py,ch07.ch07,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'ch08.ch08' has CBO of 20,pyrasbt\ch08\ch08.py,ch08.ch08,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'ch10.ch10' has CBO of 13,pyrasbt\ch10\ch10.py,ch10.ch10,,
Structural Smell,High Coupling Between Object Classes (CBO),Module 'tensorflow' has CBO of 11,Unknown,tensorflow,,
